block_seed,architecture,condition,family,lambda,rho,mu,graph_index,graph_id,log_loss,accuracy,brier
17,pna,mu_low,feature_signal,24.0,0.6,0.2,4,target:17:mu_low:4:558810624,0.14977875351905823,0.939208984375,0.04439337179064751
17,mean,mu_low,feature_signal,24.0,0.6,0.2,5,target:17:mu_low:5:1468346518,0.17940077185630798,0.931396484375,0.0519741028547287
17,mean_degree,mu_low,feature_signal,24.0,0.6,0.2,5,target:17:mu_low:5:1468346518,0.1676279604434967,0.932373046875,0.04939663037657738
17,sum,mu_low,feature_signal,24.0,0.6,0.2,5,target:17:mu_low:5:1468346518,0.20388339459896088,0.9228515625,0.05769938975572586
17,pna,mu_low,feature_signal,24.0,0.6,0.2,5,target:17:mu_low:5:1468346518,0.207936093211174,0.918212890625,0.06164602190256119
17,mean,mu_low,feature_signal,24.0,0.6,0.2,6,target:17:mu_low:6:345560369,0.1767539530992508,0.925537109375,0.0524943545460701
17,mean_degree,mu_low,feature_signal,24.0,0.6,0.2,6,target:17:mu_low:6:345560369,0.16111788153648376,0.93212890625,0.04877740144729614
17,sum,mu_low,feature_signal,24.0,0.6,0.2,6,target:17:mu_low:6:345560369,0.1860843449831009,0.92578125,0.055600885301828384
17,pna,mu_low,feature_signal,24.0,0.6,0.2,6,target:17:mu_low:6:345560369,0.20438385009765625,0.914306640625,0.06178691238164902
17,mean,mu_low,feature_signal,24.0,0.6,0.2,7,target:17:mu_low:7:1125729520,0.21524691581726074,0.91748046875,0.06254147738218307
17,mean_degree,mu_low,feature_signal,24.0,0.6,0.2,7,target:17:mu_low:7:1125729520,0.20656366646289825,0.91943359375,0.06050132215023041
17,sum,mu_low,feature_signal,24.0,0.6,0.2,7,target:17:mu_low:7:1125729520,0.2463054656982422,0.911865234375,0.06827408075332642
17,pna,mu_low,feature_signal,24.0,0.6,0.2,7,target:17:mu_low:7:1125729520,0.2597694993019104,0.887451171875,0.07869550585746765
17,mean,mu_high,feature_signal,24.0,0.6,0.5,0,target:17:mu_high:0:865562569,0.020375099033117294,0.9931640625,0.00537619274109602
17,mean_degree,mu_high,feature_signal,24.0,0.6,0.5,0,target:17:mu_high:0:865562569,0.020549636334180832,0.994140625,0.005394905339926481
17,sum,mu_high,feature_signal,24.0,0.6,0.5,0,target:17:mu_high:0:865562569,0.024654163047671318,0.99169921875,0.006336351856589317
17,pna,mu_high,feature_signal,24.0,0.6,0.5,0,target:17:mu_high:0:865562569,0.02576276659965515,0.9921875,0.006705072242766619
17,mean,mu_high,feature_signal,24.0,0.6,0.5,1,target:17:mu_high:1:1676254469,0.019694874063134193,0.99365234375,0.005034280009567738
17,mean_degree,mu_high,feature_signal,24.0,0.6,0.5,1,target:17:mu_high:1:1676254469,0.01813662238419056,0.99365234375,0.004663580562919378
17,sum,mu_high,feature_signal,24.0,0.6,0.5,1,target:17:mu_high:1:1676254469,0.021701306104660034,0.99267578125,0.005500654689967632
